,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
22,722000.0,11.125939,1.4906901,9.6352487,-0.29351503,0.99401407,1.2850132,0.80070537,-3.5502959,3.0,5.483483,7.7209269,7.836041,0.89348132,-0.036540869,-0.1214029,-0.034469973,5.3078189,5.2958527,0.0,0.0,0.3917072,1.0278781,0.075,2.0224686,0.5,0.11420868,4.3779511,2.8035923,30.801768,-0.001038481,-0.40305484,-0.0009923697,0.38859887,0.66393329,2.8408745
23,723000.0,11.132862,1.495951,9.636911,-0.26062506,0.99752213,1.285135,0.80646847,-3.5502959,3.0,5.4796477,7.7509731,7.900558,0.78741206,-0.011434533,-0.0028527654,-0.098176378,5.3027192,5.2919996,0.50408106,0.67397457,0.2689286,1.0035619,0.075,2.0567853,0.5,0.11150688,4.4840282,2.7867262,30.801768,-0.013173373,-0.36215926,0.018900027,0.36321446,-0.20832282,3.0885314
24,724000.0,11.12973,1.5052842,9.6244462,-0.28687799,1.0037456,1.2921576,0.81216239,-3.5502959,3.0,5.55002,7.8614409,7.9042739,0.88434519,-0.044069492,-0.2528224,-0.06243402,5.3718423,5.3613465,-1.1210401,1.3879929,-0.13134938,1.0115956,0.075,2.0523478,0.5,0.11239951,4.4484179,2.8024066,30.801768,0.030801103,-0.35081953,-0.024828831,0.34601756,-2.2551465,0.61658071
25,725000.0,11.154516,1.5111797,9.6433361,-0.29961975,1.0076768,1.2757699,0.8296185,-3.5502959,3.0,5.3355426,7.5933511,7.8007476,0.61252914,0.045710199,-0.14373992,-0.032497865,5.1535353,5.1492619,-0.055826874,2.8487773,0.070719259,1.008916,0.075,2.0164942,0.5,0.11210178,4.4602324,2.7941666,30.801768,0.011252046,-0.39053974,-0.00081144601,0.34192353,2.1312199,-0.46672656
26,726000.0,11.108998,1.5019913,9.6070066,-0.30830488,1.0015499,1.2980594,0.80457656,-3.5502959,3.0,5.365446,7.6651658,7.740315,0.69085718,-0.012221124,-0.2061516,0.16294389,5.1889326,5.1759107,-0.31126769,1.4913251,-0.034452165,1.0047098,0.075,2.0382496,0.5,0.11163443,4.4789051,2.7905298,30.801768,0.0028967332,-0.39076282,-0.0054707267,0.41437954,1.2312895,-1.3614724
27,727000.0,11.155375,1.5270077,9.628367,-0.28899055,1.0182312,1.2919444,0.83643628,-3.5502959,3.0,5.4733671,7.765312,7.8315993,0.82319001,0.023670176,-0.15081778,-0.041723779,5.2898641,5.2847247,-0.43158996,1.2003495,0.07761489,1.0069017,0.075,2.0476006,0.5,0.11187796,4.4691554,2.8190699,30.801768,0.018639574,-0.38899544,-0.016754104,0.30515474,-1.0689703,-5.960319
28,728000.0,11.133032,1.4930883,9.6399434,-0.28724719,0.99561323,1.2900708,0.80000332,-3.5502959,3.0,5.618492,7.8622304,7.9687373,1.0245083,-0.014505736,-0.21085935,-0.090772321,5.4429819,5.4301231,0.0,0.0,0.15953076,1.0119859,0.075,2.021874,0.5,0.11244288,4.4467022,2.8123339,30.801768,0.0082842343,-0.30082168,-0.0093418976,0.36841893,0.31369367,2.7839704
29,729000.0,11.131886,1.5030318,9.6288539,-0.29312598,1.0022437,1.2984306,0.80548533,-3.5502959,3.0,5.5255758,7.7774161,7.9235591,0.87575211,0.020432401,0.11399951,-0.10214685,5.348863,5.3359863,0.0,0.0,-0.0038492141,1.0309069,0.075,2.0157423,0.5,0.11454521,4.3650888,2.8190441,30.801768,0.032493217,-0.31560546,0.021808142,0.37280507,-2.6418397,-3.1814141
30,730000.0,11.102196,1.4987377,9.6034587,-0.32208118,0.99938033,1.2919576,0.80502329,-3.5502959,3.0,5.6450761,7.8237739,8.012633,1.0988215,-0.020331057,-0.10283109,-0.01802367,5.4684647,5.4564318,0.33097042,1.3092739,0.78825078,1.044415,0.075,2.0502487,0.5,0.11604611,4.3086321,2.8355275,30.801768,-0.00035139418,-0.40110263,-0.0014290175,0.33723101,2.1918529,2.2349079
31,731000.0,11.141492,1.5104111,9.631081,-0.29485549,1.0071643,1.3146212,0.80290693,-3.5502959,3.0,5.5183648,7.7801891,7.8734414,0.90146388,-0.024236401,0.02326197,0.056688686,5.3422176,5.3264112,1.4694441,3.3118457,0.058945512,1.0105884,0.075,2.0678741,0.5,0.1122876,4.4528516,2.7746094,30.801768,0.0033480894,-0.34131494,0.0017411537,0.35133765,-1.9096428,2.155663
