,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
20,20000.0,4.3546117,1.278238,3.0763737,-0.14317385,0.85224956,0.98582519,0.76915234,-1.2465374,1.0,0.56662081,0.86060677,0.85438459,-0.015128926,-0.0023203683,-0.016323362,0.0019614914,0.43997888,0.73265267,0.72858753,-0.14130357,0.0037361482,-0.018359393,0.0040373705,0.49621576,0.51038393,0.06152317,0.066666667,1.9242917,1.0,0.015380793,65.016156,2.4844224,70.1,0.012616019,-0.091493939,0.0031025938,0.08380394,0.012616019,-0.091493939,0.0031025938,0.08380394
21,21000.0,4.330519,1.2827494,3.0477696,-0.15146854,0.85525751,1.0143687,0.75624697,-1.2465374,1.0,0.57944466,0.8761443,0.8706146,-0.0084249092,0.00081569285,-0.037700848,-0.0035959783,0.45235576,0.7463852,0.74685476,-0.13617269,-0.0011604829,-0.035597636,-0.0027311569,0.51022091,0.5215795,0.061552244,0.066666667,1.9202143,1.0,0.015388061,64.985446,2.4970237,70.1,-0.001721249,-0.093912765,-0.0062210289,0.069163683,-0.001721249,-0.093912765,-0.0062210289,0.069163683
22,22000.0,4.3136952,1.2904507,3.0232445,-0.15182353,0.86039221,1.0018077,0.77241054,-1.2465374,1.0,0.58428164,0.8746736,0.88141987,-0.0032485576,-0.00024449594,-0.0084190979,0.0026828764,0.45642973,0.74529041,0.75274836,-0.12874958,-0.0010938158,-0.0078172865,0.0044075707,0.51357834,0.52713303,0.061522937,0.066666667,1.923129,1.0,0.015380734,65.016402,2.4797379,70.1,0.0047969695,-0.10079109,0.0043848251,0.077182145,0.0047969695,-0.10079109,0.0043848251,0.077182145
23,23000.0,4.3113865,1.2623864,3.0490002,-0.1580304,0.84168068,1.0080648,0.73813527,-1.2465374,1.0,0.56408005,0.85819216,0.85219081,-0.018142822,-0.0015388478,0.021843705,0.041430302,0.43900862,0.73337369,0.72794902,-0.14429684,-0.0024259723,0.023147552,0.043071302,0.49651417,0.5065745,0.061525578,0.066666667,1.9165022,1.0,0.015381394,65.013611,2.5043008,70.1,0.003777726,-0.093861853,-0.011563078,0.1019811,0.003777726,-0.093861853,-0.011563078,0.1019811
24,24000.0,4.289003,1.2526069,3.0363961,-0.15340613,0.83516035,0.97985082,0.74513337,-1.2465374,1.0,0.57723711,0.86751822,0.87417741,-0.0099842981,0.0016242917,0.043897878,0.033089864,0.45313459,0.74140903,0.75188697,-0.13389224,-0.0011531838,0.043965572,0.034697399,0.50903066,0.52134104,0.061516688,0.066666667,1.8950745,1.0,0.015379172,65.023006,2.4898583,70.1,-0.0049739886,-0.086755942,0.0072272917,0.10332367,-0.0049739886,-0.086755942,0.0072272917,0.10332367
25,25000.0,4.3519392,1.2793785,3.0725607,-0.14355905,0.85300998,0.99242566,0.76627335,-1.2465374,1.0,0.59557147,0.87866365,0.8740792,0.033971568,-0.0023212532,-0.033312212,0.011162937,0.46881654,0.75225501,0.74647729,-0.092282669,0.00055044635,-0.034964032,0.0093357462,0.52542995,0.53895807,0.061530313,0.066666667,1.8905149,1.0,0.015382578,65.008608,2.4780141,70.1,-0.0049319376,-0.1126941,-0.0026028663,0.091284,-0.0049319376,-0.1126941,-0.0026028663,0.091284
26,26000.0,4.3125453,1.2566839,3.0558614,-0.15057564,0.83787862,0.98863177,0.74407381,-1.2465374,1.0,0.5658383,0.86256137,0.85703348,-0.022079968,-0.0015915805,-0.044280225,0.0097953711,0.44133185,0.73824904,0.73397089,-0.14822439,-0.0018351234,-0.044453686,0.0079378559,0.49772883,0.50944131,0.061532665,0.066666667,1.8973712,1.0,0.015383166,65.006123,2.495151,70.1,-0.00033241309,-0.087664154,0.00079700851,0.068279691,-0.00033241309,-0.087664154,0.00079700851,0.068279691
27,27000.0,4.3308172,1.2551791,3.0756381,-0.14856451,0.83687534,0.98231988,0.74637872,-1.2465374,1.0,0.55868683,0.8545529,0.85003411,-0.028526539,-0.0017071388,-0.026687413,-0.031976143,0.43432946,0.72764607,0.72624184,-0.15089954,-0.0020331392,-0.026114437,-0.031726923,0.49036638,0.50264991,0.061540236,0.066666667,1.8918358,1.0,0.015385059,64.998125,2.4966617,70.1,0.0066688694,-0.10170754,6.1434626e-05,0.1158325,0.0066688694,-0.10170754,6.1434626e-05,0.1158325
28,28000.0,4.3378881,1.2832936,3.0545944,-0.14686215,0.85562035,0.99481457,0.76902219,-1.2465374,1.0,0.61164903,0.89764914,0.89824674,0.039051206,-0.0052590504,0.010544306,-0.018141751,0.48450621,0.772358,0.77076074,-0.089600121,-0.0028736549,0.0095374868,-0.018575094,0.54125589,0.55489934,0.06151466,0.066666667,1.8743057,1.0,0.015378665,65.02515,2.4943963,70.1,0.0083353151,-0.0956107,8.8261584e-05,0.088084612,0.0083353151,-0.0956107,8.8261584e-05,0.088084612
29,29000.0,4.3061879,1.2604417,3.0457462,-0.14843332,0.84038408,1.0007316,0.74060046,-1.2465374,1.0,0.56395222,0.85849034,0.85798041,-0.024614075,-0.0022250887,0.0086567818,-0.01096116,0.43907347,0.73350691,0.73518412,-0.15147062,-0.0025836436,0.011240967,-0.01016453,0.49616069,0.506865,0.061517144,0.066666667,1.8789972,1.0,0.015379286,65.022524,2.4917847,70.1,0.00095613161,-0.10479569,-0.017322626,0.099789276,0.00095613161,-0.10479569,-0.017322626,0.099789276
30,30000.0,4.3211318,1.2694148,3.051717,-0.14984652,0.84636682,0.9961634,0.75315963,-1.2465374,1.0,0.5176244,0.82238677,0.81438382,-0.0838974,0.00031954731,-0.0070711985,-0.030346669,0.39185662,0.69649156,0.6907551,-0.2116768,0.00013162252,-0.0057483361,-0.030941269,0.44868325,0.46079777,0.061502853,0.066666667,1.8817617,1.0,0.015375713,65.037634,2.483063,70.1,-0.0040595524,-0.091263994,-0.004078092,0.079440602,-0.0040595524,-0.091263994,-0.004078092,0.079440602
31,31000.0,4.3207316,1.2657072,3.0550244,-0.14950971,0.8438948,1.0024383,0.74523605,-1.2465374,1.0,0.54943207,0.85657596,0.84437443,-0.052654181,0.0041347108,-0.051768851,-0.008416646,0.42403163,0.72716576,0.72203252,-0.17710339,0.005685479,-0.052650872,-0.01051057,0.48121622,0.49224748,0.061529347,0.066666667,1.8863386,1.0,0.015382337,65.009629,2.4898398,70.1,0.00082481424,-0.11223276,-0.0077996204,0.098089198,0.00082481424,-0.11223276,-0.0077996204,0.098089198
32,32000.0,4.3223313,1.2394358,3.0828955,-0.1467275,0.82637866,0.97955431,0.73106217,-1.2465374,1.0,0.50012085,0.8258834,0.79719077,-0.12271161,-0.0036968072,-0.0059411933,-0.0091129217,0.37732326,0.69976393,0.67602592,-0.24382007,-0.003879663,-0.0046176638,-0.010888395,0.43320242,0.44424169,0.061540247,0.066666667,1.881649,1.0,0.015385062,64.998114,2.4934206,70.1,-0.0049996576,-0.094622305,0.0085580895,0.098863267,-0.0049996576,-0.094622305,0.0085580895,0.098863267
33,33000.0,4.2909574,1.2620245,3.0289329,-0.14787516,0.84143938,0.9869427,0.75090691,-1.2465374,1.0,0.52945573,0.82551235,0.8363953,-0.07354045,0.00046405036,0.050716084,0.0072627751,0.40442016,0.70165999,0.71251149,-0.20091099,-0.00054550162,0.050660187,0.011588579,0.46072079,0.4731551,0.061564407,0.066666667,1.8788461,1.0,0.015391102,64.972607,2.4920584,70.1,0.0007534005,-0.10674412,-0.0033574177,0.094499188,0.0007534005,-0.10674412,-0.0033574177,0.094499188
34,34000.0,4.3194932,1.2526798,3.0668133,-0.14671302,0.83520898,0.9861759,0.74127049,-1.2465374,1.0,0.56408094,0.85133906,0.85833336,-0.017429589,0.0043015128,0.038733041,-0.0081176848,0.43997119,0.72915814,0.73456622,-0.14381078,0.0036811932,0.037282987,-0.010276902,0.49622808,0.50782406,0.061538856,0.066666667,1.8768896,1.0,0.015384714,64.999583,2.4880924,70.1,-0.0047976017,-0.091451211,0.010332857,0.084925949,-0.0047976017,-0.091451211,0.010329074,0.084758489
35,35000.0,4.3398304,1.2912857,3.0485447,-0.15072007,0.86094895,1.0102517,0.76805204,-1.2465374,1.0,0.49899939,0.80950159,0.80887538,-0.12137879,0.0018002248,-0.0078942593,-0.011524128,0.37106475,0.67944886,0.6835567,-0.2498113,-0.00056759627,-0.0071816632,-0.013408982,0.42869505,0.44136909,0.061510727,0.066666667,1.8653933,1.0,0.015377682,65.029308,2.4748074,70.1,-0.0035579945,-0.089188894,0.00082848325,0.090088316,-0.0035579945,-0.089188894,0.00082848325,0.090088316
